drug1,drug2,cell,label
ETOPOSIDE,LAPATINIB,A427,0
ETOPOSIDE,LAPATINIB,HT29,1
ETOPOSIDE,LAPATINIB,LOVO,1
ETOPOSIDE,LAPATINIB,NCIH2122,1
ETOPOSIDE,LAPATINIB,NCIH23,0
ETOPOSIDE,LAPATINIB,NCIH460,1
ETOPOSIDE,LAPATINIB,RPMI7951,1
ETOPOSIDE,MK-4827,A427,0
ETOPOSIDE,MK-4827,NCIH2122,1
ETOPOSIDE,MK-4827,NCIH23,0
ETOPOSIDE,MK-4827,NCIH460,1
ETOPOSIDE,MK-5108,A427,0
ETOPOSIDE,MK-5108,HT29,1
ETOPOSIDE,MK-5108,NCIH2122,0
ETOPOSIDE,MK-5108,NCIH23,1
ETOPOSIDE,MK-5108,NCIH460,0
ETOPOSIDE,MK-5108,RKO,1
ETOPOSIDE,MK-5108,RPMI7951,1
ETOPOSIDE,MK-8669,HT29,1
ETOPOSIDE,MK-8669,LOVO,1
ETOPOSIDE,MK-8669,NCIH2122,1
ETOPOSIDE,MK-8669,NCIH23,0
ETOPOSIDE,MK-8669,RKO,1
ETOPOSIDE,PD325901,A427,1
ETOPOSIDE,PD325901,HT29,1
ETOPOSIDE,PD325901,LOVO,1
ETOPOSIDE,PD325901,NCIH2122,1
ETOPOSIDE,PD325901,NCIH460,1
ETOPOSIDE,PD325901,RKO,1
ETOPOSIDE,PD325901,RPMI7951,0
ETOPOSIDE,SORAFENIB,HT29,0
ETOPOSIDE,SORAFENIB,LOVO,0
ETOPOSIDE,SORAFENIB,NCIH2122,0
ETOPOSIDE,SORAFENIB,NCIH23,0
ETOPOSIDE,SORAFENIB,RKO,0
ETOPOSIDE,SORAFENIB,RPMI7951,0
ETOPOSIDE,SUNITINIB,NCIH23,0
ETOPOSIDE,SUNITINIB,RKO,0
ETOPOSIDE,SUNITINIB,RPMI7951,0
ETOPOSIDE,ZOLINZA,A427,0
ETOPOSIDE,ZOLINZA,HT29,1
ETOPOSIDE,ZOLINZA,LOVO,1
ETOPOSIDE,ZOLINZA,NCIH2122,1
ETOPOSIDE,ZOLINZA,NCIH23,0
GELDANAMYCIN,SN-38,A427,1
GELDANAMYCIN,SN-38,HT29,0
GELDANAMYCIN,SN-38,LOVO,0
GELDANAMYCIN,SN-38,NCIH460,1
GELDANAMYCIN,SN-38,RKO,1
GELDANAMYCIN,SN-38,RPMI7951,0
GELDANAMYCIN,SORAFENIB,HT29,0
GELDANAMYCIN,SORAFENIB,LOVO,0
GELDANAMYCIN,SORAFENIB,NCIH23,0
GELDANAMYCIN,SORAFENIB,NCIH460,0
GELDANAMYCIN,SORAFENIB,RKO,0
GELDANAMYCIN,SORAFENIB,RPMI7951,0
GELDANAMYCIN,TOPOTECAN,A427,1
GELDANAMYCIN,TOPOTECAN,HT29,0
GELDANAMYCIN,TOPOTECAN,LOVO,0
GELDANAMYCIN,TOPOTECAN,NCIH2122,0
GELDANAMYCIN,TOPOTECAN,NCIH23,0
GELDANAMYCIN,TOPOTECAN,NCIH460,0
GELDANAMYCIN,TOPOTECAN,RKO,0
GELDANAMYCIN,TOPOTECAN,RPMI7951,0
GEMCITABINE,ABT-888,LOVO,0
GEMCITABINE,ABT-888,NCIH23,0
GEMCITABINE,ABT-888,RKO,0
GEMCITABINE,ABT-888,RPMI7951,0
GEMCITABINE,AZD1775,HT29,1
GEMCITABINE,AZD1775,LOVO,0
GEMCITABINE,AZD1775,NCIH2122,0
GEMCITABINE,AZD1775,NCIH23,0
GEMCITABINE,AZD1775,NCIH460,1
GEMCITABINE,AZD1775,RKO,0
GEMCITABINE,AZD1775,RPMI7951,0
GEMCITABINE,BORTEZOMIB,A427,0
GEMCITABINE,BORTEZOMIB,HT29,0
GEMCITABINE,BORTEZOMIB,LOVO,0
GEMCITABINE,BORTEZOMIB,NCIH2122,0
GEMCITABINE,BORTEZOMIB,NCIH23,0
GEMCITABINE,BORTEZOMIB,NCIH460,0
GEMCITABINE,BORTEZOMIB,RKO,0
GEMCITABINE,BORTEZOMIB,RPMI7951,0
GEMCITABINE,DASATINIB,A427,1
GEMCITABINE,DASATINIB,HT29,1
GEMCITABINE,DASATINIB,LOVO,1
GEMCITABINE,DASATINIB,NCIH23,0
GEMCITABINE,DASATINIB,NCIH460,1
GEMCITABINE,ERLOTINIB,HT29,1
GEMCITABINE,ERLOTINIB,LOVO,1
GEMCITABINE,ERLOTINIB,NCIH2122,1
GEMCITABINE,ERLOTINIB,NCIH23,0
GEMCITABINE,ERLOTINIB,NCIH460,1
GEMCITABINE,ERLOTINIB,RKO,0
GEMCITABINE,ERLOTINIB,RPMI7951,0
GEMCITABINE,GELDANAMYCIN,HT29,0
GEMCITABINE,GELDANAMYCIN,LOVO,0
GEMCITABINE,GELDANAMYCIN,NCIH2122,0
GEMCITABINE,GELDANAMYCIN,NCIH23,0
GEMCITABINE,GELDANAMYCIN,NCIH460,0
GEMCITABINE,GELDANAMYCIN,RKO,0
GEMCITABINE,GELDANAMYCIN,RPMI7951,0
GEMCITABINE,LAPATINIB,A427,0
GEMCITABINE,LAPATINIB,NCIH2122,1
GEMCITABINE,LAPATINIB,NCIH23,0
GEMCITABINE,LAPATINIB,NCIH460,1
GEMCITABINE,LAPATINIB,RKO,0
GEMCITABINE,LAPATINIB,RPMI7951,0
GEMCITABINE,MK-4827,A427,0
GEMCITABINE,MK-4827,LOVO,0
GEMCITABINE,MK-4827,NCIH23,0
GEMCITABINE,MK-4827,RKO,0
GEMCITABINE,MK-4827,RPMI7951,0
GEMCITABINE,MK-5108,A427,0
GEMCITABINE,MK-5108,HT29,1
GEMCITABINE,MK-5108,LOVO,0
GEMCITABINE,MK-5108,NCIH2122,0
GEMCITABINE,MK-5108,NCIH23,0
GEMCITABINE,MK-5108,NCIH460,0
GEMCITABINE,MK-5108,RKO,0
GEMCITABINE,MK-5108,RPMI7951,0
GEMCITABINE,MK-8669,NCIH2122,1
GEMCITABINE,MK-8669,NCIH23,0
GEMCITABINE,MK-8669,NCIH460,1
GEMCITABINE,PD325901,A427,1
GEMCITABINE,PD325901,NCIH2122,1
GEMCITABINE,PD325901,NCIH23,0
GEMCITABINE,PD325901,NCIH460,1
GEMCITABINE,PD325901,RPMI7951,0
GEMCITABINE,SORAFENIB,A427,0
GEMCITABINE,SORAFENIB,HT29,0
GEMCITABINE,SORAFENIB,LOVO,0
GEMCITABINE,SORAFENIB,NCIH2122,0
GEMCITABINE,SORAFENIB,NCIH23,0
GEMCITABINE,SORAFENIB,NCIH460,0
GEMCITABINE,SORAFENIB,RKO,0
GEMCITABINE,SORAFENIB,RPMI7951,0
GEMCITABINE,SUNITINIB,LOVO,0
GEMCITABINE,SUNITINIB,NCIH23,0
GEMCITABINE,SUNITINIB,RKO,0
GEMCITABINE,SUNITINIB,RPMI7951,0
L778123,ABT-888,A427,1
L778123,ABT-888,NCIH2122,1
L778123,ABT-888,NCIH460,0
L778123,ABT-888,RPMI7951,0
L778123,AZD1775,A427,0
L778123,AZD1775,HT29,1
L778123,AZD1775,NCIH2122,0
L778123,AZD1775,NCIH460,1
L778123,AZD1775,RPMI7951,1
L778123,BORTEZOMIB,HT29,0
L778123,BORTEZOMIB,NCIH2122,0
L778123,BORTEZOMIB,NCIH23,0
L778123,BORTEZOMIB,RKO,1
L778123,BORTEZOMIB,RPMI7951,0
L778123,DASATINIB,A427,1
L778123,DASATINIB,HT29,1
L778123,DASATINIB,LOVO,1
L778123,DASATINIB,NCIH2122,0
L778123,DASATINIB,NCIH23,0
L778123,DASATINIB,NCIH460,1
L778123,DASATINIB,RKO,1
L778123,DASATINIB,RPMI7951,1
L778123,ERLOTINIB,A427,1
L778123,ERLOTINIB,HT29,1
L778123,ERLOTINIB,LOVO,1
L778123,ERLOTINIB,NCIH2122,1
L778123,ERLOTINIB,NCIH23,1
L778123,ERLOTINIB,NCIH460,1
L778123,ETOPOSIDE,A427,0
L778123,ETOPOSIDE,HT29,1
L778123,ETOPOSIDE,NCIH460,1
L778123,GELDANAMYCIN,A427,1
L778123,GELDANAMYCIN,LOVO,1
L778123,GELDANAMYCIN,NCIH2122,1
L778123,GELDANAMYCIN,NCIH460,1
L778123,GELDANAMYCIN,RKO,1
L778123,GELDANAMYCIN,RPMI7951,1
L778123,GEMCITABINE,HT29,1
L778123,GEMCITABINE,LOVO,0
L778123,GEMCITABINE,NCIH2122,0
L778123,GEMCITABINE,NCIH23,0
L778123,GEMCITABINE,RKO,0
L778123,GEMCITABINE,RPMI7951,0
L778123,LAPATINIB,HT29,1
L778123,LAPATINIB,LOVO,1
L778123,LAPATINIB,NCIH2122,1
L778123,LAPATINIB,NCIH23,1
L778123,LAPATINIB,RKO,1
L778123,LAPATINIB,RPMI7951,1
L778123,MK-4827,A427,1
L778123,MK-4827,HT29,1
L778123,MK-4827,NCIH2122,1
L778123,MK-4827,RKO,1
L778123,MK-4827,RPMI7951,1
L778123,MK-5108,A427,1
L778123,MK-5108,HT29,1
L778123,MK-5108,NCIH23,0
L778123,MK-5108,NCIH460,0
L778123,MK-5108,RKO,1
L778123,MK-8669,A427,1
L778123,MK-8669,HT29,1
L778123,MK-8669,LOVO,1
L778123,MK-8669,NCIH2122,1
L778123,MK-8669,NCIH23,1
L778123,MK-8669,NCIH460,1
L778123,MK-8669,RKO,1
L778123,MK-8669,RPMI7951,1
L778123,PD325901,A427,1
L778123,PD325901,HT29,1
L778123,PD325901,LOVO,1
L778123,PD325901,NCIH2122,1
L778123,PD325901,NCIH23,1
L778123,PD325901,NCIH460,1
L778123,PD325901,RKO,1
L778123,PD325901,RPMI7951,1
L778123,SN-38,A427,1
L778123,SN-38,HT29,1
L778123,SN-38,NCIH23,1
L778123,SN-38,RKO,1
L778123,SN-38,RPMI7951,1
L778123,SORAFENIB,A427,1
L778123,SORAFENIB,NCIH460,1
L778123,SORAFENIB,RKO,1
L778123,SORAFENIB,RPMI7951,0
L778123,SUNITINIB,A427,1
L778123,SUNITINIB,HT29,1
L778123,SUNITINIB,NCIH460,1
L778123,SUNITINIB,RKO,1
L778123,TOPOTECAN,A427,1
L778123,TOPOTECAN,HT29,1
L778123,TOPOTECAN,LOVO,1
L778123,TOPOTECAN,NCIH2122,1
L778123,TOPOTECAN,NCIH23,1
L778123,TOPOTECAN,NCIH460,1
L778123,TOPOTECAN,RKO,1
L778123,VINORELBINE,HT29,0
L778123,VINORELBINE,NCIH2122,0
L778123,VINORELBINE,NCIH23,0
L778123,VINORELBINE,RKO,0
L778123,ZOLINZA,A427,0
L778123,ZOLINZA,HT29,1
L778123,ZOLINZA,LOVO,1
L778123,ZOLINZA,NCIH2122,1
L778123,ZOLINZA,NCIH23,1
L778123,ZOLINZA,NCIH460,1
LAPATINIB,ABT-888,A427,0
LAPATINIB,ABT-888,LOVO,1
LAPATINIB,ABT-888,NCIH2122,0
LAPATINIB,ABT-888,NCIH460,0
LAPATINIB,ABT-888,RKO,0
LAPATINIB,ABT-888,RPMI7951,0
LAPATINIB,BORTEZOMIB,A427,0
LAPATINIB,BORTEZOMIB,HT29,0
LAPATINIB,BORTEZOMIB,LOVO,1
LAPATINIB,BORTEZOMIB,NCIH460,1
LAPATINIB,BORTEZOMIB,RKO,1
LAPATINIB,BORTEZOMIB,RPMI7951,0
LAPATINIB,DASATINIB,A427,1
LAPATINIB,DASATINIB,HT29,1
LAPATINIB,DASATINIB,LOVO,1
LAPATINIB,DASATINIB,NCIH2122,0
LAPATINIB,DASATINIB,NCIH460,0
LAPATINIB,DASATINIB,RPMI7951,1
LAPATINIB,ERLOTINIB,A427,0
LAPATINIB,ERLOTINIB,HT29,0
LAPATINIB,ERLOTINIB,LOVO,0
LAPATINIB,ERLOTINIB,NCIH2122,1
LAPATINIB,ERLOTINIB,NCIH23,0
LAPATINIB,ERLOTINIB,NCIH460,0
LAPATINIB,ERLOTINIB,RKO,0
LAPATINIB,ERLOTINIB,RPMI7951,0
LAPATINIB,GELDANAMYCIN,A427,0
LAPATINIB,GELDANAMYCIN,LOVO,1
LAPATINIB,GELDANAMYCIN,NCIH2122,1
LAPATINIB,GELDANAMYCIN,NCIH23,0
LAPATINIB,GELDANAMYCIN,NCIH460,1
LAPATINIB,GELDANAMYCIN,RKO,1
LAPATINIB,GELDANAMYCIN,RPMI7951,0
LAPATINIB,MK-4827,A427,0
LAPATINIB,MK-4827,HT29,1
LAPATINIB,MK-4827,LOVO,1
LAPATINIB,MK-4827,NCIH2122,1
LAPATINIB,MK-4827,NCIH23,0
LAPATINIB,MK-4827,RKO,1
LAPATINIB,MK-4827,RPMI7951,1
LAPATINIB,MK-5108,A427,0
LAPATINIB,MK-5108,HT29,1
LAPATINIB,MK-5108,LOVO,1
LAPATINIB,MK-5108,NCIH2122,0
LAPATINIB,MK-5108,NCIH460,0
LAPATINIB,MK-8669,A427,0
LAPATINIB,MK-8669,HT29,1
LAPATINIB,MK-8669,LOVO,1
LAPATINIB,MK-8669,NCIH2122,1
LAPATINIB,MK-8669,NCIH460,0
LAPATINIB,MK-8669,RKO,1
LAPATINIB,MK-8669,RPMI7951,1
LAPATINIB,PD325901,A427,1
LAPATINIB,PD325901,HT29,1
LAPATINIB,PD325901,LOVO,1
LAPATINIB,PD325901,NCIH2122,1
LAPATINIB,PD325901,NCIH23,1
LAPATINIB,PD325901,NCIH460,1
LAPATINIB,PD325901,RKO,1
LAPATINIB,PD325901,RPMI7951,1
LAPATINIB,SN-38,A427,0
LAPATINIB,SN-38,HT29,1
LAPATINIB,SN-38,LOVO,1
LAPATINIB,SN-38,NCIH2122,1
LAPATINIB,SN-38,NCIH23,1
LAPATINIB,SN-38,NCIH460,1
LAPATINIB,SN-38,RPMI7951,1
LAPATINIB,SORAFENIB,HT29,0
LAPATINIB,SORAFENIB,LOVO,0
LAPATINIB,SORAFENIB,NCIH2122,1
LAPATINIB,SORAFENIB,NCIH460,1
LAPATINIB,SORAFENIB,RKO,1
LAPATINIB,TOPOTECAN,HT29,0
LAPATINIB,TOPOTECAN,LOVO,1
LAPATINIB,TOPOTECAN,NCIH2122,1
LAPATINIB,TOPOTECAN,NCIH23,1
LAPATINIB,TOPOTECAN,RKO,1
METFORMIN,ABT-888,A427,0
METFORMIN,ABT-888,HT29,0
METFORMIN,ABT-888,LOVO,0
METFORMIN,ABT-888,NCIH2122,0
METFORMIN,ABT-888,NCIH23,0
METFORMIN,ABT-888,NCIH460,0
METFORMIN,ABT-888,RKO,0
METFORMIN,ABT-888,RPMI7951,0
METFORMIN,AZD1775,LOVO,0
METFORMIN,AZD1775,NCIH2122,0
METFORMIN,AZD1775,NCIH460,0
METFORMIN,AZD1775,RPMI7951,1
METFORMIN,BORTEZOMIB,A427,0
METFORMIN,BORTEZOMIB,HT29,0
METFORMIN,BORTEZOMIB,LOVO,0
METFORMIN,BORTEZOMIB,NCIH23,0
METFORMIN,BORTEZOMIB,NCIH460,0
METFORMIN,BORTEZOMIB,RKO,0
METFORMIN,BORTEZOMIB,RPMI7951,0
METFORMIN,DASATINIB,A427,1
METFORMIN,DASATINIB,LOVO,1
METFORMIN,DASATINIB,NCIH2122,0
METFORMIN,DASATINIB,NCIH23,0
METFORMIN,ERLOTINIB,A427,0
METFORMIN,ERLOTINIB,HT29,0
METFORMIN,ERLOTINIB,NCIH23,0
METFORMIN,ERLOTINIB,NCIH460,0
METFORMIN,ERLOTINIB,RKO,0
METFORMIN,GELDANAMYCIN,HT29,0
METFORMIN,GELDANAMYCIN,LOVO,0
METFORMIN,GELDANAMYCIN,NCIH2122,0
METFORMIN,GELDANAMYCIN,NCIH23,0
METFORMIN,GELDANAMYCIN,NCIH460,0
METFORMIN,GELDANAMYCIN,RKO,0
METFORMIN,GELDANAMYCIN,RPMI7951,0
METFORMIN,L778123,RKO,0
METFORMIN,LAPATINIB,A427,0
METFORMIN,LAPATINIB,LOVO,1
METFORMIN,LAPATINIB,NCIH23,0
METFORMIN,LAPATINIB,NCIH460,0
METFORMIN,LAPATINIB,RKO,0
METFORMIN,MK-4827,A427,0
METFORMIN,MK-4827,LOVO,0
METFORMIN,MK-4827,NCIH23,0
METFORMIN,MK-5108,A427,0
METFORMIN,MK-5108,LOVO,0
METFORMIN,MK-5108,NCIH460,0
METFORMIN,MK-8669,A427,1
METFORMIN,MK-8669,HT29,1
METFORMIN,MK-8669,LOVO,1
METFORMIN,MK-8669,RKO,1
METFORMIN,PD325901,A427,0
METFORMIN,PD325901,HT29,0
METFORMIN,PD325901,LOVO,0
METFORMIN,PD325901,NCIH2122,0
METFORMIN,PD325901,NCIH23,0
METFORMIN,PD325901,NCIH460,0
METFORMIN,PD325901,RKO,0
METFORMIN,PD325901,RPMI7951,0
METFORMIN,SORAFENIB,LOVO,0
METFORMIN,SORAFENIB,NCIH460,1
METFORMIN,SORAFENIB,RKO,1
METFORMIN,SUNITINIB,NCIH460,0
METFORMIN,SUNITINIB,RPMI7951,0
METFORMIN,ZOLINZA,A427,0
METFORMIN,ZOLINZA,HT29,1
METFORMIN,ZOLINZA,NCIH23,0
METFORMIN,ZOLINZA,NCIH460,0
METHOTREXATE,ABT-888,LOVO,0
METHOTREXATE,ABT-888,NCIH23,0
METHOTREXATE,ABT-888,NCIH460,0
METHOTREXATE,ABT-888,RKO,0
METHOTREXATE,ABT-888,RPMI7951,1
METHOTREXATE,AZD1775,A427,0
METHOTREXATE,AZD1775,HT29,0
METHOTREXATE,AZD1775,LOVO,0
METHOTREXATE,AZD1775,NCIH2122,0
METHOTREXATE,AZD1775,NCIH23,0
METHOTREXATE,AZD1775,NCIH460,0
METHOTREXATE,AZD1775,RKO,0
METHOTREXATE,AZD1775,RPMI7951,0
METHOTREXATE,BORTEZOMIB,A427,0
METHOTREXATE,BORTEZOMIB,HT29,0
METHOTREXATE,BORTEZOMIB,LOVO,0
METHOTREXATE,BORTEZOMIB,NCIH2122,0
METHOTREXATE,BORTEZOMIB,NCIH23,0
METHOTREXATE,BORTEZOMIB,NCIH460,0
METHOTREXATE,BORTEZOMIB,RKO,0
METHOTREXATE,BORTEZOMIB,RPMI7951,0
METHOTREXATE,DASATINIB,HT29,0
METHOTREXATE,DASATINIB,LOVO,1
METHOTREXATE,DASATINIB,NCIH2122,1
METHOTREXATE,DASATINIB,NCIH23,0
METHOTREXATE,DASATINIB,NCIH460,0
METHOTREXATE,DASATINIB,RKO,0
METHOTREXATE,DASATINIB,RPMI7951,0
METHOTREXATE,ERLOTINIB,A427,1
METHOTREXATE,ERLOTINIB,HT29,0
METHOTREXATE,ERLOTINIB,LOVO,0
METHOTREXATE,ERLOTINIB,NCIH2122,0
METHOTREXATE,ERLOTINIB,NCIH460,0
METHOTREXATE,ERLOTINIB,RKO,0
METHOTREXATE,ERLOTINIB,RPMI7951,0
METHOTREXATE,GELDANAMYCIN,A427,0
METHOTREXATE,GELDANAMYCIN,HT29,0
METHOTREXATE,GELDANAMYCIN,LOVO,0
METHOTREXATE,GELDANAMYCIN,NCIH2122,0
METHOTREXATE,GELDANAMYCIN,NCIH23,0
METHOTREXATE,GELDANAMYCIN,NCIH460,0
METHOTREXATE,GELDANAMYCIN,RKO,0
METHOTREXATE,GELDANAMYCIN,RPMI7951,0
METHOTREXATE,L778123,A427,1
METHOTREXATE,L778123,HT29,0
METHOTREXATE,L778123,LOVO,0
METHOTREXATE,L778123,NCIH2122,0
METHOTREXATE,L778123,NCIH23,0
METHOTREXATE,L778123,NCIH460,0
METHOTREXATE,L778123,RKO,0
METHOTREXATE,L778123,RPMI7951,0
METHOTREXATE,LAPATINIB,HT29,0
METHOTREXATE,LAPATINIB,NCIH2122,0
METHOTREXATE,LAPATINIB,NCIH23,0
METHOTREXATE,LAPATINIB,NCIH460,0
METHOTREXATE,LAPATINIB,RKO,0
METHOTREXATE,MK-4827,A427,1
METHOTREXATE,MK-4827,HT29,0
METHOTREXATE,MK-4827,LOVO,0
METHOTREXATE,MK-4827,NCIH23,0
METHOTREXATE,MK-4827,NCIH460,0
METHOTREXATE,MK-4827,RKO,0
METHOTREXATE,MK-5108,HT29,0
METHOTREXATE,MK-5108,LOVO,0
METHOTREXATE,MK-5108,NCIH2122,0
METHOTREXATE,MK-5108,NCIH23,0
METHOTREXATE,MK-5108,NCIH460,0
METHOTREXATE,MK-5108,RKO,0
METHOTREXATE,MK-5108,RPMI7951,0
METHOTREXATE,MK-8669,A427,1
METHOTREXATE,MK-8669,HT29,0
METHOTREXATE,MK-8669,LOVO,0
METHOTREXATE,MK-8669,NCIH2122,0
METHOTREXATE,MK-8669,NCIH23,0
METHOTREXATE,MK-8669,NCIH460,0
METHOTREXATE,MK-8669,RKO,0
METHOTREXATE,MK-8669,RPMI7951,0
METHOTREXATE,PD325901,A427,1
METHOTREXATE,PD325901,HT29,0
METHOTREXATE,PD325901,LOVO,0
METHOTREXATE,PD325901,NCIH2122,0
METHOTREXATE,PD325901,NCIH23,0
METHOTREXATE,PD325901,NCIH460,0
METHOTREXATE,PD325901,RKO,0
METHOTREXATE,PD325901,RPMI7951,0
METHOTREXATE,SORAFENIB,A427,0
METHOTREXATE,SORAFENIB,HT29,0
METHOTREXATE,SORAFENIB,NCIH2122,0
METHOTREXATE,SORAFENIB,NCIH23,0
METHOTREXATE,SORAFENIB,NCIH460,0
METHOTREXATE,SORAFENIB,RKO,0
METHOTREXATE,SORAFENIB,RPMI7951,0
METHOTREXATE,SUNITINIB,A427,0
METHOTREXATE,SUNITINIB,HT29,0
METHOTREXATE,SUNITINIB,LOVO,0
METHOTREXATE,SUNITINIB,NCIH2122,0
METHOTREXATE,SUNITINIB,NCIH23,0
METHOTREXATE,SUNITINIB,NCIH460,0
METHOTREXATE,SUNITINIB,RKO,0
METHOTREXATE,SUNITINIB,RPMI7951,0
METHOTREXATE,ZOLINZA,A427,0
METHOTREXATE,ZOLINZA,HT29,0
METHOTREXATE,ZOLINZA,LOVO,0
METHOTREXATE,ZOLINZA,NCIH2122,0
METHOTREXATE,ZOLINZA,NCIH23,0
METHOTREXATE,ZOLINZA,NCIH460,0
METHOTREXATE,ZOLINZA,RKO,0
METHOTREXATE,ZOLINZA,RPMI7951,0
MK-4827,ABT-888,A427,0
MK-4827,ABT-888,LOVO,0
MK-4827,ABT-888,NCIH2122,0
MK-4827,ABT-888,NCIH23,0
MK-4827,ABT-888,NCIH460,0
MK-4827,ABT-888,RKO,0
MK-4827,ABT-888,RPMI7951,0
MK-4827,BORTEZOMIB,A427,0
MK-4827,BORTEZOMIB,HT29,0
MK-4827,BORTEZOMIB,NCIH2122,1
MK-4827,BORTEZOMIB,NCIH23,0
MK-4827,BORTEZOMIB,NCIH460,1
MK-4827,BORTEZOMIB,RPMI7951,0
MK-4827,DASATINIB,A427,1
MK-4827,DASATINIB,HT29,1
MK-4827,DASATINIB,LOVO,1
MK-4827,DASATINIB,NCIH2122,0
MK-4827,DASATINIB,NCIH23,1
MK-4827,DASATINIB,NCIH460,1
MK-4827,DASATINIB,RKO,1
MK-4827,DASATINIB,RPMI7951,1
MK-4827,ERLOTINIB,A427,0
MK-4827,ERLOTINIB,HT29,1
MK-4827,ERLOTINIB,LOVO,1
MK-4827,ERLOTINIB,NCIH2122,1
MK-4827,ERLOTINIB,NCIH23,0
MK-4827,ERLOTINIB,RPMI7951,0
MK-4827,GELDANAMYCIN,HT29,0
MK-4827,GELDANAMYCIN,LOVO,0
MK-4827,GELDANAMYCIN,NCIH23,0
MK-4827,GELDANAMYCIN,RKO,0
MK-4827,GELDANAMYCIN,RPMI7951,0
MK-4827,MK-8669,A427,1
MK-4827,MK-8669,HT29,1
MK-4827,MK-8669,LOVO,1
MK-4827,MK-8669,NCIH2122,1
MK-4827,MK-8669,NCIH23,1
MK-4827,MK-8669,NCIH460,1
MK-4827,MK-8669,RKO,1
MK-4827,MK-8669,RPMI7951,1
MK-4827,PD325901,A427,0
MK-4827,PD325901,HT29,0
MK-4827,PD325901,LOVO,0
MK-4827,PD325901,NCIH2122,1
MK-4827,PD325901,NCIH23,0
MK-4827,PD325901,NCIH460,1
MK-4827,PD325901,RKO,1
MK-4827,PD325901,RPMI7951,0
MK-4827,SN-38,A427,1
MK-4827,SN-38,LOVO,0
MK-4827,SN-38,NCIH23,1
MK-4827,SN-38,NCIH460,1
MK-4827,SN-38,RKO,1
MK-4827,SN-38,RPMI7951,1
MK-4827,SORAFENIB,LOVO,0
MK-4827,SORAFENIB,NCIH460,1
MK-4827,SORAFENIB,RPMI7951,0
MK-4827,TOPOTECAN,LOVO,1
MK-4827,TOPOTECAN,NCIH2122,1
MK-4827,TOPOTECAN,NCIH460,1
MK-4827,TOPOTECAN,RKO,1
MK-4827,TOPOTECAN,RPMI7951,1
MK-5108,ABT-888,NCIH2122,1
MK-5108,ABT-888,RKO,1
MK-5108,BORTEZOMIB,A427,0
MK-5108,BORTEZOMIB,HT29,0
MK-5108,BORTEZOMIB,LOVO,0
MK-5108,BORTEZOMIB,NCIH2122,0
MK-5108,BORTEZOMIB,NCIH23,0
MK-5108,BORTEZOMIB,NCIH460,0
MK-5108,BORTEZOMIB,RKO,1
MK-5108,BORTEZOMIB,RPMI7951,0
MK-5108,DASATINIB,A427,1
MK-5108,DASATINIB,HT29,1
MK-5108,DASATINIB,LOVO,1
MK-5108,DASATINIB,NCIH2122,0
MK-5108,DASATINIB,NCIH23,1
MK-5108,DASATINIB,RKO,1
MK-5108,DASATINIB,RPMI7951,1
MK-5108,ERLOTINIB,LOVO,1
MK-5108,ERLOTINIB,NCIH2122,0
MK-5108,ERLOTINIB,NCIH23,1
MK-5108,ERLOTINIB,NCIH460,0
MK-5108,ERLOTINIB,RKO,0
MK-5108,GELDANAMYCIN,A427,1
MK-5108,GELDANAMYCIN,HT29,0
MK-5108,GELDANAMYCIN,LOVO,0
MK-5108,GELDANAMYCIN,NCIH2122,0
MK-5108,GELDANAMYCIN,RKO,1
MK-5108,GELDANAMYCIN,RPMI7951,0
MK-5108,MK-4827,A427,1
MK-5108,MK-4827,HT29,1
MK-5108,MK-4827,NCIH2122,1
MK-5108,MK-4827,NCIH23,1
MK-5108,MK-4827,NCIH460,0
MK-5108,MK-4827,RKO,1
MK-5108,MK-4827,RPMI7951,1
MK-5108,MK-8669,A427,1
MK-5108,MK-8669,HT29,1
MK-5108,MK-8669,LOVO,1
MK-5108,MK-8669,NCIH2122,0
MK-5108,MK-8669,NCIH23,1
MK-5108,MK-8669,NCIH460,0
MK-5108,MK-8669,RKO,1
MK-5108,MK-8669,RPMI7951,1
MK-5108,PD325901,A427,1
MK-5108,PD325901,LOVO,1
MK-5108,PD325901,NCIH2122,0
MK-5108,PD325901,NCIH23,1
MK-5108,PD325901,NCIH460,1
MK-5108,PD325901,RKO,1
MK-5108,PD325901,RPMI7951,0
MK-5108,SN-38,A427,0
MK-5108,SN-38,LOVO,0
MK-5108,SN-38,NCIH2122,0
MK-5108,SN-38,NCIH23,1
MK-5108,SN-38,NCIH460,0
MK-5108,SN-38,RKO,0
MK-5108,SN-38,RPMI7951,1
MK-5108,SORAFENIB,LOVO,0
MK-5108,SORAFENIB,NCIH2122,0
MK-5108,SORAFENIB,NCIH460,0
MK-5108,SORAFENIB,RKO,1
MK-5108,SORAFENIB,RPMI7951,0
MK-5108,TOPOTECAN,A427,0
MK-5108,TOPOTECAN,HT29,1
MK-5108,TOPOTECAN,NCIH2122,0
MK-5108,TOPOTECAN,NCIH23,1
MK-5108,TOPOTECAN,NCIH460,0
MK-5108,TOPOTECAN,RKO,1
MK-5108,TOPOTECAN,RPMI7951,1
MK-8669,GELDANAMYCIN,A427,1
MK-8669,GELDANAMYCIN,HT29,0
MK-8669,GELDANAMYCIN,RKO,1
MK-8669,SN-38,A427,1
MK-8669,SN-38,HT29,1
MK-8669,SN-38,LOVO,0
MK-8669,SN-38,RKO,1
